,t,x,y,z
,0,0,0,0
,,,,
9211,92.11,16.149699783,-0.275940553566,49.3249159065
9212,92.12,14.5865947845,-3.6999139697,47.9829930753
9213,92.13,12.8464048952,-6.56338784227,46.1877974651
9214,92.14,10.9993204938,-8.8228967703,44.1403836751
9215,92.15,9.11298874339,-10.5015788733,42.0212290664
9216,92.16,7.24641745256,-11.6684621977,39.9711116521
9217,92.17,5.44643021784,-12.4155065959,38.0849307198
9218,92.18,3.74664365581,-12.8384982184,36.4154888255
9219,92.19,2.1683600922,-13.0244786051,34.9825866251
9220,92.2,0.722571579669,-13.045535803,33.7833607993
9221,92.21,-0.587635939133,-12.9573119597,32.8013593922
9222,92.22,-1.76476523344,-12.8003119501,32.0133517648
9223,92.23,-2.81493544786,-12.6024750838,31.393854516
9224,92.24,-3.74634218847,-12.3820214706,30.9178120453
9225,92.25,-4.56813501815,-12.1500537467,30.5619755264
9226,92.26,-5.28964935916,-11.9127093955,30.3054558369
9227,92.27,-5.91991630987,-11.6728351507,30.129803347
9228,92.28,-6.46737844906,-11.4312362547,30.0188499503
9229,92.29,-6.93975156749,-11.1875795801,29.9584574079
9230,92.3,-7.34398550074,-10.9410285801,29.9362528168
9231,92.31,-7.68628911278,-10.6906761135,29.9413914742
9232,92.32,-7.97219409074,-10.4358268951,29.9643629942
9233,92.33,-8.20663954748,-10.1761684264,29.9968427018
9234,92.34,-8.39406483942,-9.91185902246,30.0315830948
9235,92.35,-8.53850192836,-9.64355403786,30.0623368791
9236,92.36,-8.64366144973,-9.3723861933,30.0838021343
9237,92.37,-8.71300871814,-9.09991245091,30.0915805696
9238,92.38,-8.74982744461,-8.82803764565,30.0821410065
